name,level,hp,ac,fortitude,reflex,will,attack_bonus,spell_dc,spell_attack_bonus
Adult Magma Dragon,13,270,34,+26,+21,+23,"+25, +25, +27, +27",31,23
Adult Mirage Dragon,13,235,33,+22,+23,+25,"+23, +25, +25",35,
Adult Omen Dragon,11,185,30,+20,+19,+23,"+20, +20, +22, +22",30,
Adult Red Dragon,14,305,37,+28,+25,+26,"+27, +27, +29, +29",35,
Adult Sea Dragon,12,225,33,+22,+25,+20,"+26, +26, +26",32,
Adult Silver Dragon,14,295,37,+26,+23,+28,"+27, +29, +29",33,
Adult Sky Dragon,13,235,34,+23,+21,+26,"+27, +27, +27",33,
Adult Sovereign Dragon,15,275,37,+27,+23,+29,"+30, +30, +30",36,30
Adult Umbral Dragon,15,275,37,+27,+25,+27,"+28, +28, +30, +30",36,
Adult Underworld Dragon,11,195,31,+23,+18,+22,"+24, +24, +24",30,24
Adult White Dragon,10,215,29,+22,+19,+17,"+22, +23, +23",27,
Advisor,5,56,21,+9,+11,+15,"+11, +11","22, 22",13
Aeolaeka,12,250,33,+25,+20,+23,+25,32,24
Aesra,7,100,27,+17,+11,+15,"+15, +18",24,
Aghash,4,75,19,+9,+10,+12,+14,21,
Ahuizotl,6,105,23,+17,+13,+13,"+17, +17, +17",,
Air Scamp,1,12 ( fast healing 2  (in open air)),16,+3,+9,+7,+9,17,
Air Wisp,0,10,18,+3,+9,+4,+7,,
Aiuvarin Elementalist,2,20,17,+5,+11,+8,"+9, +9",18,
Akata,1,15,16,+9,+5,+6,+9,,
Akhana,12,225,32,+23,+22,+23,"+24, +24",32,
Akizendri,3,42 ( fast healing  1),19,+6,+11,+10,"+12, +12",20,12
Alghollthu Master,7,135,23,+15,+10,+16,+16,25,
Alicorn,15,320,36,+26,+26,+29,"+29, +29, +29",36,
Almiraj,4,63,20,+14,+11,+8,"+13, +13, +13",,
Amalgamite,13,220,33,+22,+22,+26,"+24, +27",33,
Amoeba Swarm,1,35,9,+8,+1,+3,,,
Amphisbaena,4,70,21,+10,+14,+8,"+12, +13",,
Anancus,8,170,25,+19,+14,+16,"+17, +19",,
Ancient Adamantine Dragon,18,300,41,+32,+26,+29,"+34, +34, +36, +36",,
Ancient Black Dragon,16,325,39,+30,+27,+29,"+31, +31, +33, +33",37,
Ancient Blue Dragon,18,370,42,+32,+30,+33,"+33, +33, +35, +35",43,
Ancient Brass Dragon,16,325,39,+30,+29,+30,"+30, +32, +32",37,
Ancient Brine Dragon,17,330,40,+31,+30,+30,"+32, +32, +34, +34",38,30
Ancient Bronze Dragon,18,360,43,+32,+30,+34,"+33, +35, +35",40,
Ancient Cloud Dragon,19,355,44,+36,+32,+34,"+34, +34, +36, +36",42,
Ancient Conspirator Dragon,17,345,40,+27,+28,+32,"+30, +31, +32, +32",41,
Ancient Copper Dragon,17,345,41,+30,+32,+32,"+31, +33, +33",39,
Ancient Crystal Dragon,16,275,42,+30,+27,+29,"+31, +33, +33",37,
Ancient Diabolic Dragon,20,390,44,+36,+32,+32,"+36, +38, +38",40,32
Ancient Empyreal Dragon,19,350,43,+31,+31,+35,"+33, +33, +35, +35",41,33
Ancient Forest Dragon,19,410,44,+32,+29,+35,"+36, +36, +36",41,35
Ancient Fortune Dragon,19,300,43,+31,+34,+32,"+32, +34, +34",45,37
Ancient Gold Dragon,20,450,46,+37,+34,+39,"+36, +36, +38, +38",41,
Ancient Green Dragon,17,315,41,+30,+29,+32,"+31, +31, +33, +33",39,
Ancient Horned Dragon,17,315,41,+30,+29,+32,"+31, +31, +33, +33",39,
Ancient Magma Dragon,18,390,42,+34,+30,+31,"+34, +34, +36, +36",40,32
Ancient Mirage Dragon,18,345,41,+28,+29,+33,"+31, +33, +33",43,
Ancient Omen Dragon,16,280,38,+27,+28,+29,"+28, +28, +30, +30",39,
Ancient Red Dragon,19,425,45,+35,+32,+35,"+35, +35, +37, +37",42,
Ancient Sea Dragon,17,350,41,+29,+32,+27,"+34, +34, +34",38,
Ancient Silver Dragon,19,410,45,+34,+31,+34,"+35, +37, +37",40,
Ancient Sky Dragon,18,335,42,+31,+28,+32,"+36, +36, +36",42,
Ancient Sovereign Dragon,20,410,46,+35,+31,+36,"+38, +38, +38",43,
Ancient Umbral Dragon,20,375,45,+35,+33,+38,"+36, +36, +38, +38",42,
Ancient Underworld Dragon,16,295,39,+30,+25,+28,"+32, +32, +32",37,
Ancient White Dragon,15,330,36,+30,+26,+24,"+29, +31, +31",36,
Android Infiltrator,2,28,18,+8,+10,+4,"+10, +10, +10",,
Anemos,18,310,43,+29,+33,+30,"+35, +35, +35",40,
Angazhani,8,180,26,+19,+16,+14,"+20, +20",24,
Angheuvore Flesh-Gnawer,2,30 ( negative healing ),18,+9,+10,+5,"+10, +10, +10",,
Animate Dream,8,110,24,+15,+18,+14,+20,26,
Animated Armor,2,20,17,+10,+3,+4,+10,,
Animated Broom,-1,6,15,+3,+6,+3,+6,,
Animated Colossus,15,245,39,+31,+21,+19,"+32, +32",,
Animated Furnace,9,135,30,+21,+11,+13,+21,,
Animated Silverware Swarm,1,14,16,+9,+8,+3,,,
Animated Statue,3,35,19,+12,+5,+5,+11,,
Animated Trebuchet,13,200,36,+29,+19,+17,"+28, +28",,
Ankhrav,3,40,18,+12,+8,+7,"+10, +13",,
Ankhrav Hive Mother,8,120,29,+18,+15,+14,"+17, +20",,
Ankou,14,280,36,+23,+28,+24,"+29, +29",34,26
Ankylosaurus,6,90,26,+16,+10,+12,"+17, +17",,
Annis Hag,6,85,24,+16,+12,+14,+16,,
Antipaladin,5,75,25,+14,+10,+12,"+12, +15",20,
Aolaz,18,255,42,+35,+27,+31,"+33, +35",40,
Aphorite Sharpshooter,4,60,21,+10,+12,+8,"+14, +14",18,
Apothecary,-1,9,14,+8,+3,+5,"+4, +5, +5",,
Apothecary Bee,7,115,25,+14,+19,+13,,,
Apprentice,-1,8,15,+5,+6,+2,"+3, +4",,
Arbiter,1,22,16,+5,+7,+7,+7,17,
Arboreal Archive,12,230,33,+23,+17,+27,+25,32,24
Arboreal Reaper,7,130,25,+17,+13,+15,"+16, +18, +18",22,
Arboreal Regent,8,150,26,+20,+11,+16,"+19, +19, +19",26,
Arboreal Warden,4,75,20,+13,+9,+11,"+13, +13",,
Arcane Living Rune,13,245,34,+20,+23,+27,+25,35,27
Archer Sentry,2,30,19,+7,+10,+7,"+10, +10",,
Ardande Gardener,1,17,16,+4,+6,+9,"+6, +8",17,9
Army Ant Swarm,5,55,21,+13,+11,+9,,,
Ascendant Griffon,11,210,30,+21,+24,+18,"+24, +24, +24, +25",,
Asp Of Grief,10,150,31,+15,+21,+21,+21,29,
Assassin,8,130,26,+12,+19,+14,"+18, +20",,
Assassin Vine,3,68,18,+10,+7,+8,+12,,
Astradaemon,16,240,39,+27,+30,+26,"+32, +32, +32",37,
Astronomer,2,23,15,+6,+5,+9,+6,17,9
Athach,12,250,33,+25,+20,+21,"+25, +25, +25, +25",,
Athamaru Hunter,3,38,20,+7,+10,+9,"+10, +11",,
Attic Whisperer,4,60 ( negative healing ),21,+8,+13,+12,"+13, +15",,
Augnagar,14,225,36,+28,+23,+25,"+28, +28",31,
Augur,1,14,17,+4,+10,+7,+8,17,
Aurumvorax,9,170,28,+19,+17,+16,"+21, +21",,
Avalanche Legion,11,240 (16 squares),31,+24,+20,+21,,,
Awakened Tree,6,100,22,+16,+9,+13,"+16, +16",,
Axiomite,8,155,26,+13,+16,+18,"+17, +20",27,17
Azarketi Crab Catcher,0,15,16,+6,+9,+3,"+7, +7",,
Azarketi Explorer,2,30,18,+10,+7,+6,"+7, +10, +10",,
Azarketi Tide Tamer,7,115,25,+15,+18,+12,"+17, +18, +18",,
Azer,2,45,17,+10,+5,+8,"+7, +9, +9",,
Azuretzi,5,65 ( fast healing  2),22,+11,+15,+11,"+13, +15, +15",22,
Babau,6,130,24,+14,+16,+11,"+16, +16, +17",24,
Badger,0,15,16,+8,+5,+6,"+8, +8",,
Balisse,8,145,26,+16,+12,+18,+20,26,
Balor,20,480,45,+39,+35,+34,"+40, +40",44,
Bandersnatch,17,335 ( fast healing  15),41,+32,+30,+27,"+30, +34, +34, +34",,
Bandit,2,30,19,+7,+9,+6,"+9, +9, +9",,
Banshee,17,250 ( void healing ),39,+25,+29,+32,+32,,
Baobhan Sith,6,105,24,+12,+17,+14,+17,24,
Baomal,20,315,48,+36,+30,+34,"+38, +38",,
Barded Manticore,18,440,42,+32,+30,+29,"+31, +33, +33",40,35
Barghest,4,50,20,+11,+12,+8,"+13, +13",21,
Barkeep,1,25,14,+7,+3,+6,"+3, +6, +6",,
Barrister,-1,8,13,+3,+3,+12,+4,,
Basidirond,5,80,22,+13,+11,+12,+15,,
Basilisk,5,75,22,+14,+8,+11,+15,,
Bastion Archon,20,280 ( fast healing 30 ),47,+38,+31,+34,+40,42,34
Bauble Beast,6,100,23,+15,+12,+15,"+16, +16, +16",,
Baykok,9,200 ( negative healing ),27,+20,+19,+15,"+21, +21",,
Beast Tamer,4,54,20,+10,+7,+12,+11,"22, 22",14
Bebilith,10,200,30,+22,+19,+19,"+23, +23, +23",29,
Beetle Carapace,6,90 ( negative healing ),25,+16,+13,+10,"+15, +15",,
Beggar,-1,10,15,+4,+7,+3,"+5, +5",,
Behemoth Hippopotamus,10,190,29,+22,+17,+19,"+21, +23",,
Behir,8,140,27,+19,+16,+15,"+18, +18",,
Belker,6,78,25,+13,+17,+12,"+17, +17",,
Benthic Worm,15,320,35,+32,+20,+23,"+29, +31, +31",,
Betobeto-San,12,170,33,+19,+25,+22,+25,,
Bhuta,11,175 ( negative healing ),30,+18,+24,+22,"+24, +24",30,22
Bison,4,70,20,+13,+11,+8,"+12, +12",,
Black Bear,2,32,18,+11,+8,+5,"+9, +9",,
Black Pudding,7,165,14,+18,+6,+11,+18,,
Black Scorpion,15,275,38,+29,+25,+25,"+30, +30",,
Blindheim,2,27,18,+9,+9,+5,"+10, +11",,
Blink Dog,2,30,18,+8,+10,+11,+11,18,
Blizzardborn,6,105,24,+16,+12,+14,+17,,
Blodeuwedd,6,105,24,+12,+17,+14,"+14, +17",25,
Blood Hag,8,170,26,+14,+17,+17,"+18, +18, +19",26,
Blood Painter,9,155,27,+16,+19,+17,+20,,
Bloodseeker,-1,6,16,+5,+8,+4,+8,,
Blooming Guardian,15,360,36,+32,+23,+25,"+26, +28",33,
Blue-Ringed Octopus,0,15,16,+3,+9,+6,"+6, +7",,
Blustering Gale,11,150 (16 squares),30,+22,+24,+18,,,
Boar,2,40,15,+10,+5,+8,+10,,
Bodak,8,160 ( negative healing ),27,+13,+16,+19,+18,,
Bodyguard,1,25,16,+8,+7,+4,"+7, +7",,
Bog Mummy,5,"85 ( negative healing 
)",21,+13,+9,+14,+14,,
Bog Strider,2,30,18,+8,+10,+8,"+8, +8, +10",,
Boggard Scout,1,24,16,+9,+5,+7,"+7, +8, +8",,
Boggard Swampseer,3,40,18,+9,+7,+11,"+10, +10",21,11
Boggard Warrior,2,38,17,+10,+5,+8,"+6, +6, +10, +10",,
Bogwid,5,100,20,+15,+12,+8,"+14, +15",,
Boiling Spring,13,255,34,+23,+26,+20,"+27, +27",,
Bone Croupier,5,50 ( negative healing ),22,+9,+14,+14,+14,22,
Bone Prophet,8,115,27,+14,+15,+19,"+17, +18","28, 28",20
Bone Ship,18,415,42,+33,+27,+30,"+35, +35, +35",,
Bore Worm Swarm,5,60,20,+15,+12,+8,,,
Bosun,3,45,19,+6,+11,+8,"+11, +13, +13, +13",,
Bottlenose Dolphin,0,16,15,+6,+7,+5,"+6, +6",,
Bounty Hunter,4,60,21,+9,+12,+12,"+13, +14",,
Brainchild,11,200,30,+21,+22,+18,"+24, +24",30,
Bralani,6,120,24,+13,+17,+12,"+16, +18",24,
Brass Bastion,14,205,36,+27,+22,+20,"+26, +28",,
Brimorak,5,80,22,+15,+12,+10,"+15, +15",21,
Brine Shark,3,45,19,+9,+11,+6,+11,,
Brochmaw,13,259,32,+28,+20,+23,"+25, +27",,
Brontosaurus,10,220,28,+21,+14,+16,"+23, +23",,
Brood Leech Swarm,4,40,19,+12,+11,+9,,,
Brownie,1,25,16,+4,+9,+9,+7,17,
Bugbear Prowler,2,34,17,+9,+8,+5,"+8, +10, +10",,
Bugbear Tormentor,3,44,20,+9,+10,+6,"+10, +11, +11",,
Bulette,8,120,30,+20,+16,+14,"+21, +21",,
Bunyip,3,45,19,+9,+12,+6,"+11, +11",,
Burglar,4,60,21,+7,+12,+10,"+12, +14, +14",,
Buso,3,48,18,+9,+6,+8,"+8, +11",,
Bythos,16,245,39,+25,+26,+30,+32,37,
Cacodaemon,1,22,16,+7,+8,+6,+8,17,
Cactus Leshy,2,30,18,+10,+6,+7,"+11, +11",18,
Cadaverous Rake,8,125 ( negative healing ),27,+16,+20,+12,+20,,
Cairn Linnorm,18,360,43,+34,+30,+26,"+35, +35, +35",40,
Cairn Wight,4,67,20,+12,+10,+11,"+14, +14",,
Calathgar,4,75,21,+10,+13,+10,"+13, +13",,
Caldera Oni,14,315,35,+28,+25,+23,"+28, +30",34,
Caligni Caller,6,70,24,+9,+15,+11,+15,24,16
Caligni Dancer,1,18 (final dance),17,+7,+9,+4,"+9, +9, +9",16,
Caligni Hunter,4,60 (final fate),21,+10,+13,+8,+13,19,
Caligni Skulker,2,30 (final night),19,+9,+10,+6,"+10, +10",,
Caligni Slayer,3,45 (death implosion),19,+9,+12,+6,+11,20,12
Caligni Vanguard,5,50,24,+14,+8,+11,"+10, +16",,
Calikang,12,235,31,+23,+22,+20,"+25, +28",28,
Camel,1,20,15,+9,+8,+4,"+6, +7",,
Capritellix,17,290,39,+31,+29,+30,"+33, +33",,
Captain of the Guard,6,95,24,+14,+12,+15,"+12, +18",,
Carbuncle,1,20,16,+8,+3,+6,+5,18,
Carnivorous Blob,13,300,20,+25,+14,+19,+26,,
Carnotaurus,7,145,24,+17,+15,+13,"+18, +18",,
Carrion Golem,4,60,19,+13,+8,+10,"+14, +14",,
Carved Beast,6,92,22,+13,+9,+17,"+15, +17",,
Cassisian,1,20,16,+7,+6,+4,+6,16,
Catfolk Pouncer,1,17,17,+6,+9,+4,"+8, +9, +9",,
Catoblepas,12,215,33,+24,+20,+22,"+23, +25, +25",,
Catrina,5,75,22,+11,+12,+13,+14,22,
Caulborn,7,105,24,+12,+15,+18,"+17, +17",25,17
Cauthooj,12,215,33,+25,+20,+18,+26,,
Cave Bear,6,95,24,+16,+11,+13,"+16, +16",,
Cave Fisher,2,30,18,+9,+9,+7,"+10, +11",,
Cave Giant,6,110,23,+17,+13,+11,"+16, +18, +18",,
Cave Scorpion,1,20,16,+6,+9,+5,"+9, +9",,
Cave Worm,13,270,32,+28,+21,+21,"+26, +26, +28, +28",,
Cavern Troll,6,135,22,+18,+13,+8,"+16, +16, +16",,
Cecaelia Trapper,5,53,24,+10,+15,+11,"+15, +15",,
Centaur,3,40,20,+8,+9,+9,"+9, +9, +11, +11",,
Centaur Herbalist,3,36,18,+8,+9,+10,"+8, +9",,
Centipede Swarm,3,30,18,+8,+11,+5,,,
Ceustodaemon,6,130,23,+16,+12,+12,"+16, +16",23,
Changeling Exile,3,45,19,+7,+8,+11,"+11, +11, +11","21, 21",11
Chaos Falcon,10,180,29,+19,+22,+16,"+21, +21, +23",,
Charlatan,3,40,18,+5,+8,+10,"+7, +10","19, 20",10
Charnel Creation,8,140,26,+18,+14,+15,+20,,
Chernobue,12,220,33,+23,+18,+25,"+26, +26",32,
Child of Urgathoa,8,165 ( negative healing ),27,+14,+15,+18,"+20, +20",26,
Chimera,8,135,27,+18,+16,+14,"+20, +20, +20, +20",,
Choker,2,28,18,+7,+10,+7,+11,,
Choral,6,100,24,+10,+14,+16,"+14, +17",23,15
Chouchin-Obake,6,75,24,+12,+16,+15,"+16, +16",,
Chronicler,3,45,18,+8,+9,+9,"+7, +7, +7",20,12
Chupacabra,3,45,18,+9,+11,+7,"+11, +11",,
Chuul,7,100,28,+18,+15,+12,+19,,
Chyzaedu,10,135,30,+18,+15,+23,"+21, +21",29,21
Cinder Rat,3,45,18,+9,+12,+6,+10,,
City Guard Squadron,5,75,22,+14,+9,+11,,,
Clacking Skull Swarm,10,120 ( negative healing ),29,+20,+19,+16,,,
Clay Effigy,10,175,29,+23,+16,+17,+24,,
Cloaker,5,80,22,+13,+12,+12,"+14, +14",,
Clockwork Dragon,16,265,39,+30,+28,+25,"+31, +31, +33, +33",,
Clockwork Mage,9,115,27,+17,+19,+17,+19,28,20
Clockwork Soldier,6,80,24,+16,+14,+12,"+16, +18",,
Clockwork Spy,-1,8,17,+2,+7,+4,+7,,
Cloud Giant,11,220,30,+25,+18,+21,"+24, +25",30,
Coarti,7,110,24,+13,+17,+15,"+17, +18",25,
Cobbleswarm,2,20,16,+8,+10,+7,,,
Cockatrice,3,45,17,+8,+11,+6,+13,,
Cockroach Swarm,2,20,18,+9,+10,+6,,,
Coil Spy,4,48,22,+9,+12,+10,"+10, +14, +14",21,
Coldmire Pond,8,135,27,+16,+19,+13,+20,,
Combusted,3,65 ( negative healing ),19,+10,+12,+4,"+11, +12",,
Common Eurypterid,-1,9,15,+7,+4,+2,"+6, +6",,
Commoner,-1,10,13,+6,+3,+3,"+3, +5",,
Comozant Wyrd,5,60,21,+7,+15,+12,+15,,
Compsognathus,-1,8,15,+4,+7,+4,+7,,
Con Rit,7,100,27,+17,+14,+10,+18,,
Concert Frog,8,"150 (frog, 25 (froglets))",27,+19,+13,+16,"+17, +18",,
Consonite Choir,13,200,32,+27,+22,+21,+26,,
Coral Capuchin,1,20,16,+4,+9,+8,+9,,
Cornugon,16,300,38,+31,+26,+26,"+32, +32, +34",36,
Corpseroot,11,225 ( negative healing ),30,+24,+18,+18,"+20, +24, +24",,
Corrupted Relic,4,50 ( negative healing ),19,+6,+11,+11,"+14, +14",,
Crag Linnorm,14,270,37,+28,+24,+22,"+30, +30, +30",33,
Crawling Hand,-1,8 ( void healing ),12,+2,+5,+2,+7,,
Crocodile,2,30,17,+9,+7,+5,"+10, +10",,
Crossroads Guardian,7,115 (primal purpose),25,+14,+13,+19,+18,25,
Crying Cicada,3,48,19,+10,+12,+7,"+9, +9",,
Crystal Strider,10,230,29,+21,+19,+20,"+21, +23",,
Cuckoo Hag,9,170,28,+16,+19,+18,+20,29,
Culdewen,7,105,25,+14,+18,+13,"+17, +17, +18",,
Cullitox,3,45,18,+8,+9,+9,"+10, +10",17,
Cult Leader,7,95,23,+12,+15,+18,+13,26,18
Cultist,1,20,17,+7,+8,+4,"+6, +7",,
Cunning Fox,1,14,16,+5,+8,+7,"+6, +6",17,
Cyclops,5,80,21,+13,+8,+12,"+8, +14",,
Cythnigot,1,14,16,+9,+6,+5,+8,17,
D'ziriak,3,45,19,+6,+12,+10,+12,19,
Daeodon,4,60,21,+13,+9,+10,+14,,
Danava Titan,23,470,49,+41,+37,+37,"+40, +40, +43",46,38
Dancer,1,20,16,+6,+8,+3,"+8, +8, +8",,
Dandasuka,5,60,23,+12,+13,+10,"+15, +15","19, 22",15
Daqqanoenyent,9,170 ( negative healing ),28,+21,+17,+15,"+21, +21",,
Dark Naga,7,115,27,+15,+17,+15,+19,"25, 26",18
Deadly Mantis,11,220,31,+24,+20,+18,"+24, +25",,
Death Coach,14,228 ( negative healing ),35,+22,+28,+24,+30,34,
Deathless Acolyte of Urgathoa,3,36 ( negative healing ),17,+7,+7,+11,+10,"19, 19",11
Deathless Hierophant of Urgathoa,7,87 ( negative healing ),23,+13,+13,+17,+15,"25, 25",17
Decapod Dinghy,8,145,28,+18,+15,+15,"+19, +19",,
Decrepit Mummy,2,40 ( negative healing ),17,+6,+7,+10,+11,,
Deep Gnome Rockwarden,5,63,22,+12,+9,+14,"+10, +11","21, 24",14
Deep Gnome Scout,1,18,17,+7,+9,+5,"+7, +9",14,
Deep Gnome Warrior,2,34,18,+9,+8,+5,"+8, +10",15,
Deimavigga,17,285,40,+27,+29,+32,+33,42,34
Deinonychus,2,30,17,+10,+9,+5,"+9, +9",,
Deinosuchus,9,175,26,+20,+16,+15,"+20, +22",,
Demilich,15,220 ( negative healing ),38,+23,+27,+23,+27,40,30
Demonologist,7,100,22,+13,+12,+15,+17,26,18
Denizen of Leng,8,100 (planar fast healing 5),27,+16,+19,+17,"+17, +18",27,19
Derghodaemon,12,240,33,+21,+24,+22,"+25, +25",32,
Dero Magister,5,65,22,+10,+13,+10,+10,"24, 24",
Dero Stalker,2,30,18,+7,+10,+3,"+8, +10, +10",17,
Dero Strangler,3,45,19,+10,+8,+6,"+10, +11",19,
Desert Drake,8,135,27,+17,+15,+13,"+19, +19",,
Desert Giant,9,185,27,+18,+21,+15,"+19, +21",,
Desert Manticore,12,270,33,+25,+22,+22,"+25, +25, +25",,
Despairing Pall,1,15,17,+4,+10,+7,"+7, +7",,
Despot,5,56,19,+9,+9,+13,+11,"22, 23",13
Destrachan,8,135,27,+16,+13,+18,"+20, +20",,
Devourer,11,175 ( negative healing ),31,+20,+18,+24,+24,31,
Dewdrop Jelly,1,20,16,+7,+10,+4,+8,,
Dezullon,10,130,30,+17,+21,+16,"+21, +23",,
Dhampir Wizard,2,22 ( void healing ),17,+4,+7,+6,"+6, +7, +7, +7",18,8
Dig-Widget,5,65,23,+10,+14,+7,"+14, +14",,
Dire Wolf,3,50,18,+11,+8,+8,+12,,
Divine Warden Of Nethys,5,60,22,+15,+9,+11,"+14, +14","19, 19",
Dockhand,0,20,14,+7,+5,+3,"+5, +7",,
Doldrums Heap,9,300,16,+21,+18,+15,+21,,
Domovoi,2,35,17,+5,+9,+11,"+7, +9",18,
Doppelganger,3,50,18,+5,+10,+11,+10,21,
Doprillu,14,260,36,+27,+28,+24,+30,28,
Doru,1,20,16,+4,+9,+7,+9,17,
Dracolisk,9,155,28,+20,+17,+18,"+21, +21",,
Draconal,20,370,45,+34,+31,+38,"+38, +38","46, 46",38
Dragon Turtle,9,140,29,+19,+15,+17,"+21, +21",,
Drainberry Bush,7,135,23,+17,+13,+13,+17,,
Drakauthix,9,190,25,+21,+13,+15,+20,,
Drake Skeleton,8,130 ( negative healing ),26,+16,+14,+12,"+20, +20",,
Dramofir,14,290,35,+22,+26,+30,"+27, +27",36,
Draugr,2,35 ( negative healing ),17,+11,+6,+7,"+10, +10",,
Draxie,3,45,19,+6,+11,+8,"+7, +11",20,
Dread Wraith,9,130 ( negative healing ),28,+16,+19,+21,+21,,
Dream Spider,0,15,16,+5,+7,+4,"+7, +7",,
Drider,6,95,24,+13,+13,+15,"+15, +16, +16, +16","20, 24",17
Dromaar Mountaineer,2,28,19,+7,+9,+8,"+9, +9, +9",,
Drow Fighter,1,18,18,+7,+9,+4,"+9, +9, +9",14,
Drow Priestess,3,39,20,+8,+7,+11,"+9, +9","17, 21",
Drow Rogue,2,26,19,+6,+10,+6,"+10, +10",16,
Drthak,6,110,23,+14,+17,+11,"+16, +17",,
Drunkard,2,40,17,+10,+8,+6,"+8, +9",,
Dryad,3,55,17,+6,+11,+10,+12,20,12
Dryad Queen,13,220,35,+24,+26,+24,"+27, +27","35, 35","25, 25"
Duende,2,35,17,+6,+9,+9,+10,18,10
Dullahan,7,95 ( fast healing 5 ),28,+13,+15,+17,"+14, +17, +18, +18",,
Duneshaker Solifugid,18,340,42,+31,+33,+28,"+35, +35",,
Duskwalker Ghost Hunter,4,56,21,+9,+12,+10,"+12, +14, +14",,
Dust Mephit,1,16 ( fast healing  2 (in dust or sand)),17,+6,+9,+5,+9,17,
Dvorovoi,3,44,18,+10,+9,+7,+12,18,
Dwarf Stonecaster,4,70,20,+11,+8,+14,"+12, +12",,
Dwarf Warrior,1,20,17,+8,+3,+5,"+8, +8",,
Dweomercat,7,100,25,+12,+17,+17,"+17, +17",26,
Dybbuk,15,175 ( void healing ),35,+21,+28,+29,+28,36,30
Eagle,-1,6,15,+4,+6,+2,"+6, +6",,
Earth Scamp,1,20 ( fast healing 2  (while underground)),15,+8,+4,+3,+8,17,
Earth Wisp,0,15,16,+7,+5,+4,+6,,
Earthen Destrier,4,72,20,+14,+9,+10,"+14, +14",,
Ecorche,16,275,38,+27,+30,+27,+33,,
Einherji,10,175,30,+22,+18,+17,"+21, +23, +24, +24",29,
Elananx,6,95,24,+12,+16,+12,"+16, +16",,
Elasmosaurus,7,125,25,+17,+13,+16,"+17, +17",,
Elder Outcrop,13,295,33,+29,+19,+26,"+27, +27",,
Elder Sphinx,16,300,38,+28,+25,+31,+32,37,
Elder Wyrmwraith,23,450 ( negative healing ),49,+32,+38,+42,"+42, +42",46,
Electric Eel,1,18,16,+7,+7,+4,"+6, +6",,
Elemental Avalanche,11,215,32,+26,+17,+21,"+24, +24",,
Elemental Hurricane,11,140,32,+19,+24,+18,"+24, +24",,
Elemental Inferno,11,210 (explosion),31,+21,+23,+19,"+24, +24",,
Elemental Thicket,11,240,28,+20,+13,+25,+24,,
Elemental Tsunami,11,195,31,+21,+22,+19,+24,,
Elephant,7,130,23,+18,+11,+13,"+16, +16, +18",,
Elf Ranger,1,17,16,+4,+10,+7,"+9, +9, +9",,
Elysian Titan,21,400,46,+37,+34,+35,"+38, +38, +41",44,
Ember Fox,2,35,18,+6,+10,+8,+10,,
Emperor Cobra,5,80,22,+15,+11,+9,+15,,
Empress Bore Worm,7,140,23,+18,+14,+11,+17,,
Eremite,20,375,45,+37,+32,+34,"+39, +39",42,
